Maker YoY,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,     TOTAL     
3EV INDUSTRIES PVT LTD,501,70,546,390,142,0,1,1,11,8,21
3GB TECHNOLOGY PVT LTD,0,0,0,0,7,5,41,50,23,68,187
3S INDUSTRIES PRIVATE LIMITED,953,"1,274",266,68,67,142,103,6,9,6,266
786 ENGINEERING WORKS AP105382023,16,17,25,16,7,0,0,0,1,0,1
A1 HEAVY EQUIPMENTS DEVELOPER,2,8,1,0,0,37,122,35,18,12,224
A-1 SUREJA INDUSTRIES,0,0,0,9,18,0,0,0,1,0,1
A3T INCORPORTED,199,571,797,517,9,11,170,275,105,34,595
AADESH INDUSTRIES,0,0,1,1,1,0,0,0,0,1,1
AADHYA ENTERPRISES,6,5,34,10,0,69,120,9,50,83,331
AADITYA EMOTORS INDIA PVT LTD,"3,354","2,912",919,310,202,14,31,247,486,18,796
AADITYA GARBAGE PRODUCTS PVT LTD,76,60,0,0,0,2,16,0,4,0,22
AAHANA COMMERCE PVT LTD,0,10,18,13,10,61,0,0,0,0,61
AAKAR TRAILERS,12,27,36,41,0,0,0,0,0,2,2
AAKK AUTO PVT LTD,0,0,0,0,3,0,0,1,0,0,1
A AND Z MOTOR CO P LTD,0,0,0,0,1,0,0,10,12,6,28
AARGEE ELECTRIC,10,10,0,0,0,0,0,0,1,0,1
AARTI AGRO INDUSTRIES,5,2,0,0,0,0,0,0,1,0,1
AARYA AUTOMOBILES,0,0,0,0,1,1,0,3,1,3,8
AARYA AUTOMOBILES LTD,0,0,1,2,0,0,0,0,0,1,1
AASHI INDIA AUTOMOBILES PVT LTD,0,0,1,0,0,15,29,45,14,10,113
A.B. AGRO ENGINEERING WORKS,11,68,15,0,0,1,0,1,0,0,2
A B EXCAVATORS & EARTHMOVER LTD,0,1,0,0,0,10,9,12,5,5,41
A B EXCAVATORS & EARTHMOVERS PVT LTD,256,502,598,608,208,1,4,7,2,6,20
ABHARAN MOTORS PRIVATE LTD,"7,219","10,797","8,884","7,662","6,898",0,0,1,4,5,10
ABHAVIS TECHNOLOGY (I) PVT LTD,71,105,110,125,87,0,0,4,1,0,5
ABHAY AGRO INDUSTRIES,1,2,4,3,2,0,0,0,20,64,84
ABHISHEK  ENGINEERING WORKS,663,"2,393","2,323","1,737","2,590",0,0,32,52,55,139
ABIRAMI ENGINEERING WORKS,"1,077","1,687",689,168,34,0,0,1,5,1,7
A B K AGRO INDUSTRIES,0,2,40,327,186,0,0,1,0,3,4
A B K ENGINEERING CO.,0,0,1,0,1,0,0,1,2,3,6
ABRA MOTORS PVT LTD,101,246,383,"1,350","1,870",0,0,0,1,0,1
ACC CRANE,10,61,63,41,61,0,0,0,1,3,4
ACCRETION POWER AUTOS,0,0,2,3,5,116,320,277,23,4,740
ACTION CONSTRUCTION EQUIPMENT LTD.,236,204,179,129,53,"5,644","7,702","8,915","6,060","5,238","33,559"
A D AGRO WORKS,86,305,129,0,0,60,168,206,34,51,519
ADAPT MOTORS PVT LTD,1,8,61,226,65,4,6,2,5,0,17
ADARSH TRAILER,161,12,0,0,0,0,0,0,0,1,1
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,66,37,0,0,0,"1,884","1,601","1,402",782,168,"5,837"
ADIDEV TECHNOA PVT LTD,494,165,0,0,0,14,8,0,0,1,23
ADISHAKTI TRACTORS,5,39,138,186,8,17,13,77,184,318,609
ADISHWAR AUTO RIDE INDIA PVT.LTD,0,3,2,35,487,2,0,0,0,0,2
ADISHWAR AUTO RIDE INDIA PVT LTD,6,0,0,0,0,"2,610",834,2,1,0,"3,447"
ADITYA AGRO INDUSTRIES,0,0,0,1,3,36,21,59,90,40,246
ADITYA ENTERPRISES,0,1,0,1,7,2,1,0,1,1,5
ADITYA SAI INDUSTRIES,0,0,0,1,14,75,296,193,190,41,795
ADITYA STEEL AND AGRO INDUSTRY,0,4,0,1,1,0,0,0,0,31,31
ADVANCE CONSTRUCTON TECH P LTD,0,0,0,0,1,0,0,0,0,1,1
AEC TRAILERS,89,127,65,55,49,0,0,0,10,26,36
AFREEN AGRO ENGG WORKS HUBLI,69,125,149,259,866,0,0,0,1,0,1
AFTEK MOTORS INDIA PVT LTD,3,1,0,0,0,29,7,0,0,0,36
"AFZAL ENGG WORKS,JUNAGARH",0,0,7,12,4,132,147,253,52,31,615
AGGARWAL BROTHERS,7,17,74,105,24,0,0,0,1,0,1
"AGNEE IRON WORKS,BARIPADA",29,76,95,71,87,21,0,1,8,2,32
AGP ENGINEERING PRODUCTS,"3,499","4,514","3,553","1,852","2,041",3,0,1,2,3,9
AGRASEN ENGINEERING WORKS,7,3,7,23,125,4,6,44,244,282,580
AGRAWAL RENEWABLE ENERGY PVT LTD,1,0,0,0,0,2,2,0,0,0,4
AGREETECH PUNE,0,0,7,22,76,0,0,0,2,0,2
AGRI EQUIPMENT,6,9,0,1,0,0,0,0,4,5,9
AGRIFAB ENG. SOLUTION,4,2,9,11,46,0,0,0,0,3,3
AGRI IMPLEMENTS,0,9,25,10,32,0,0,2,0,1,3
AGRI & IND. MACHINERY SUPPLIER,62,6,0,0,0,0,0,2,7,3,12
AGRI KING,146,195,190,34,0,0,2,7,18,16,43
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,129,166,0,0,0,48,52,72,63,6,241
AGRI TECH ENGINEER,0,1,6,0,0,0,0,10,140,49,199
AGRO INDUSTRIES,0,0,2,1,0,259,474,"1,540",362,360,"2,995"
AGRO TRAILERS AP312870751,14,40,16,4,0,0,0,1,0,0,1
AHITESHAM AGRO ENGINEERING,0,0,1,6,24,5,4,11,2,3,25
AHMED MOTORS,1,0,0,0,0,1,0,0,0,0,1
AIMS FARM EQUIPMENTS PVT LTD,0,0,1,35,1,0,0,35,43,47,125
AISHWARYA AGRO SALES,26,27,35,56,273,0,0,0,2,0,2
AJANTA  AGRO,1,0,0,0,0,0,0,0,0,6,6
AJANTA KRUSHI YANTRA,2,0,2,3,5,85,71,35,0,26,217
AJAX ENGINEERING LTD,"1,439","1,837",138,0,0,"1,759","1,922","1,283",399,36,"5,399"
AJAX FIORI ENGINEERING PVT LTD,546,685,563,433,256,188,412,"1,086","1,664","1,370","4,720"
"AJAY AGRO ENTERPRISES,SBP",3,2,0,1,0,100,111,102,117,26,456
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,13,20,25,6,11,23,34,4,0,0,61
AJAY ENTERPRISES,0,0,0,1,0,0,0,0,1,1,2
AJAY MOTORS PRIVATE LIMITED,0,0,0,0,1,0,0,0,1,0,1
AJINKYA TRAILER AND FABRICATOR,0,0,0,8,7,0,0,0,0,10,10
AJIT AGRO INDUSTRIES,0,0,1,0,0,0,0,0,0,3,3
AJS MOTORCYCLES LTD,0,0,0,12,3,0,0,0,1,0,1
AKASH AGRO INDUSTRIES,1,6,39,14,0,19,21,116,69,73,298
AKASH ENGG WORKS,171,71,0,0,0,0,0,0,0,7,7
AKASH EQUIPMENTS & MACHINERIES (P) LTD.,71,265,59,0,1,0,2,6,18,5,31
AKASH KRISHI YANTRA,"1,340","9,290","10,752","5,928","2,387",4,9,0,1,0,14
AKASH TRAILOR,"1,011","1,136","1,278",834,545,181,79,429,12,79,780
A.K.AUTO ELECTRICAL,7,11,28,6,13,0,1,0,12,20,33
A K AUTTO ELECTRICAL,"1,450","2,926","2,521","1,666",385,2,42,57,77,36,214
A. K. AUTTO ELECTRICAL,49,"1,090","2,519",699,146,1,0,0,3,12,16
A K ENGINEERING WORKS,3,19,37,67,0,0,0,0,2,10,12
A K GUPTA & CO.,11,11,13,9,29,195,438,626,101,2,"1,362"
AKKI AGRO INDUSTRIES,146,14,0,0,0,0,0,21,32,48,101
AKMAAN MULTI MECH MACHINES,0,2,0,1,4,1,1,0,0,0,2
A K MISTRY AND SONS KISHAN,1,28,48,62,88,0,0,0,0,1,1
A K S ENG AGRO INDUSTRIES,8,74,14,30,64,10,21,46,25,49,151
AKSHAR AGRI TECH,325,532,162,39,63,0,0,3,6,1,10
AKSHAR AGRO INDUSTRIES,66,22,0,0,0,0,0,0,21,59,80
AKSHAR AGRO LNDUSTRIES,0,0,5,7,0,1,1,1,2,2,7
AKSHAR ENGNEERING WORKS,2,7,17,1,0,0,0,0,61,110,171
AKSHAR STEEL,14,33,25,23,23,3,48,29,1,1,82
AKSHAY AGRO AGENCIES,0,0,0,0,4,0,0,0,0,5,5
AKSHAY INDUSTRIES,3,0,0,0,0,1,1,2,3,3,10
AKSMD RECHARGEABLE VEHICLES PVT LTD,124,117,145,92,113,0,1,0,0,0,1
ALAM ENGINEERING WORKS,961,"1,880","1,910","1,161",986,0,0,0,0,16,16
ALAM TRACTOR TRAILORS,0,0,0,0,1,0,0,7,6,13,26
ALAWAR AUTO IND.BABRA,0,0,0,0,2,0,0,0,18,46,64
ALBEDO VISION PVT LTD,89,21,0,0,0,15,6,17,0,0,38
ALLFINE INDUSTRIES PVT LTD,150,219,222,164,177,"1,190","1,741",776,250,2,"3,959"
ALL TERRAIN CRANE,25,122,"1,574","1,496",0,98,171,52,30,29,380
ALOK ENG. WORKS,132,"1,089","42,916","79,859","12,470",0,0,0,0,76,76
ALPHA SERVICES,0,0,8,"2,391",315,6,4,5,7,18,40
ALTAF  ENGINEERING WORKS,0,2,1,0,0,0,0,0,1,10,11
ALTIER ELECTRIC VEHICLES PVT LTD,0,38,49,30,57,310,177,0,0,0,487
ALTIGREEN PROPULSION LABS PVT LTD,19,17,0,0,0,3,0,0,0,0,3
ALTIUS TECHNOLOGIES,0,0,0,0,1,30,79,0,7,34,150
AL-ZAHOOR  CO,0,2,2,10,8,0,0,0,0,7,7
AMAC INNOVATIVES,4,34,51,6,0,0,4,2,0,4,10
AMAN AGRO INDUSTRIES,5,4,8,1,0,161,198,217,354,234,"1,164"
AMAN AUTOMOBILES,0,8,13,0,0,22,59,53,72,2,208
AMAN ELECTRIC VEHICLES,0,0,1,0,0,14,20,70,115,81,300
AMAR AGRO IND LTD,1,42,61,0,0,0,1,1,11,377,390
AMAR AGRO SALES,0,0,1,0,0,0,1,0,0,0,1
AMAR COACH BUILDERS,72,0,0,0,0,3,9,9,16,0,37
AMARDEEP INDUSTRIES,2,4,0,0,0,0,0,0,5,6,11
AMAR ENGG. WORKS,10,0,0,0,0,0,0,1,0,0,1
AMAR ENGINEERING WORKS,0,0,0,0,1,0,0,0,1,2,3
AMARESHWAR AGRO INDUSTRIES,27,60,62,21,11,0,0,0,0,4,4
AMAR INTERNATIONAL,0,0,0,0,2,0,0,0,0,3,3
AMARJEET HARVESTER INDUSTRY,42,107,75,76,79,0,2,0,0,2,4
AMAR TROLLY WORKS,0,0,0,3,7,0,0,0,0,3,3
AMBARKAR INDUSTRIES,0,0,5,2,111,0,0,7,22,27,56
AMBAY ENGINEERING WORKS,0,0,1,1,4,0,0,0,0,1,1
AMBERKAR TRAILERS,21,84,42,83,88,0,0,1,1,0,2
AMBICA AGRO INDUSTRIES,10,0,0,0,0,0,0,24,31,80,135
AMBICA ENG WORKS,10,9,0,0,0,0,0,0,11,39,50
AMBICA INDUSTRIES,0,0,0,1,7,4,62,17,9,0,92
AMBICA INDUSTRIES LTD,0,4,2,9,12,0,0,0,26,111,137
AMBICA IRON WORKS,3,5,26,30,5,0,0,0,13,25,38
AMBICA MACHINE TOOLS,14,0,0,0,0,0,0,0,4,7,11
